hotel_id,hotel_name,hotel_url
ho554777,Lloyd's Inn,https://sg.hotels.com/ho554777/
ho458704,Hotel Clover The Arts,https://sg.hotels.com/ho458704/
ho368090,Hotel 81 Gold,https://sg.hotels.com/ho368090/
ho401367232,Holiday Inn Express Singapore Katong,https://sg.hotels.com/ho401367232/
ho421327,PARKROYAL on Pickering,https://sg.hotels.com/ho421327/
ho271070,Fragrance Hotel - Emerald,https://sg.hotels.com/ho271070/
ho465691,Hotel Royal @ Queens,https://sg.hotels.com/ho465691/
ho422537,The Sultan,https://sg.hotels.com/ho422537/
ho105489,Grand Park Orchard,https://sg.hotels.com/ho105489/
ho367998,Hotel 81 Chinatown,https://sg.hotels.com/ho367998/
ho368293,The Porcelain Hotel by JL Asia,https://sg.hotels.com/ho368293/
ho629030,Champion Hotel City,https://sg.hotels.com/ho629030/
ho368101,Hotel 81 Osaka,https://sg.hotels.com/ho368101/
ho325769,Fort Canning Lodge,https://sg.hotels.com/ho325769/
ho112178,Swissotel Merchant Court,https://sg.hotels.com/ho112178/
ho476750,Park Avenue Changi,https://sg.hotels.com/ho476750/
ho520156448,Ascott Orchard Singapore,https://sg.hotels.com/ho520156448/
ho233318,Harbour Ville Hotel,https://sg.hotels.com/ho233318/
ho688019,ZEN Rooms People's Park Complex,https://sg.hotels.com/ho688019/
ho603783,The Keong Saik Hotel,https://sg.hotels.com/ho603783/
ho535902176,Park Hotel Farrer Park,https://sg.hotels.com/ho535902176/
ho368076,Hotel 81 Orchid,https://sg.hotels.com/ho368076/
ho116693,Singapore Marriott Tang Plaza Hotel,https://sg.hotels.com/ho116693/
ho443876,Hotel Clover 5 HongKong Street,https://sg.hotels.com/ho443876/
ho273408,InterContinental Singapore,https://sg.hotels.com/ho273408/
ho515327,The Club Residences by Capella Singapore,https://sg.hotels.com/ho515327/
ho489280,Tai Hoe Hotel,https://sg.hotels.com/ho489280/
ho439593,AMOY,https://sg.hotels.com/ho439593/
ho328169,Nostalgia Hotel,https://sg.hotels.com/ho328169/
ho473763,J8 Hotel,https://sg.hotels.com/ho473763/
ho270906,Fragrance Hotel - Pearl,https://sg.hotels.com/ho270906/
ho608196,ZEN Rooms Bukit Merah,https://sg.hotels.com/ho608196/
ho665412,ZEN Rooms Jalan Besar,https://sg.hotels.com/ho665412/
ho271523,Fragrance Hotel - Oasis,https://sg.hotels.com/ho271523/
ho592233,Hotel Clover 7,https://sg.hotels.com/ho592233/
ho363118,Jayleen 1918 Hotel,https://sg.hotels.com/ho363118/
ho324244,Fragrance Hotel - Imperial,https://sg.hotels.com/ho324244/
ho270613,Crowne Plaza Changi Airport,https://sg.hotels.com/ho270613/
ho113090,Hilton Singapore,https://sg.hotels.com/ho113090/
ho536328,"The Vagabond Club, Singapore, a Tribute Portfolio Hotel",https://sg.hotels.com/ho536328/
ho738071776,XY Hotel Bugis Singapore,https://sg.hotels.com/ho738071776/
ho682804352,Galaxy Pods at Chinatown,https://sg.hotels.com/ho682804352/
ho426846,Fragrance Hotel - Balestier,https://sg.hotels.com/ho426846/
ho140972,Naumi Hotel,https://sg.hotels.com/ho140972/
ho191920,InterContinental Singapore Robertson Quay,https://sg.hotels.com/ho191920/
ho368092,Hotel 81 Lucky,https://sg.hotels.com/ho368092/
ho105544,Peninsula Excelsior Hotel,https://sg.hotels.com/ho105544/
ho379913,Fragrance Hotel - Bugis,https://sg.hotels.com/ho379913/
ho426850,Fragrance Hotel - Viva,https://sg.hotels.com/ho426850/
ho529223,Aqueen Hotel Paya Lebar,https://sg.hotels.com/ho529223/
ho398961,Fragrance Hotel - Riverside,https://sg.hotels.com/ho398961/
ho270908,Fragrance Hotel - Sapphire,https://sg.hotels.com/ho270908/
ho105303,"Swissotel The Stamford, Singapore",https://sg.hotels.com/ho105303/
ho368069,Value Hotel Balestier,https://sg.hotels.com/ho368069/
ho367996,Hotel 81 Dickson,https://sg.hotels.com/ho367996/
ho676505184,Mayo Inn,https://sg.hotels.com/ho676505184/
ho545341,Hotel 81 Cosy,https://sg.hotels.com/ho545341/
ho235647,Perak Hotel,https://sg.hotels.com/ho235647/
ho859007424,Downtown Cosy Apartment,https://sg.hotels.com/ho859007424/
ho504686,Resorts World Sentosa - Hard Rock Hotel,https://sg.hotels.com/ho504686/
ho608132,ZEN Rooms Farrer Park,https://sg.hotels.com/ho608132/
ho323738,Fragrance Hotel - Sunflower,https://sg.hotels.com/ho323738/
ho509302,Villa Samadhi,https://sg.hotels.com/ho509302/
ho502230,Resorts World Sentosa - Equarius Hotel,https://sg.hotels.com/ho502230/
ho379951,Fragrance Hotel - Royal,https://sg.hotels.com/ho379951/
ho445355,Changi Cove,https://sg.hotels.com/ho445355/
ho480900,Four Chain View Hotel,https://sg.hotels.com/ho480900/
ho144899,Mandarin Orchard Singapore,https://sg.hotels.com/ho144899/
ho482980800,D'Resort at Downtown East,https://sg.hotels.com/ho482980800/
ho426840,Fragrance Hotel - Kovan,https://sg.hotels.com/ho426840/
ho446856,Beach Hotel,https://sg.hotels.com/ho446856/
ho453942,Hotel Kai,https://sg.hotels.com/ho453942/
ho379934,Fragrance Hotel - Waterfront,https://sg.hotels.com/ho379934/
ho464395,Aqueen Lavender Hotel,https://sg.hotels.com/ho464395/
ho602091,Hotel 81 Fuji,https://sg.hotels.com/ho602091/
ho357139,Hotel Fort Canning,https://sg.hotels.com/ho357139/
ho368095,Hotel 81 Rochor,https://sg.hotels.com/ho368095/
ho593818,Aqueen Heritage Hotel Joo Chiat,https://sg.hotels.com/ho593818/
ho405643,Kam Leng Hotel,https://sg.hotels.com/ho405643/
ho116218,Hotel Royal,https://sg.hotels.com/ho116218/
ho608144,ZEN Rooms Geylang,https://sg.hotels.com/ho608144/
ho497713,Resorts World Sentosa - Beach Villas,https://sg.hotels.com/ho497713/
ho402280,Sandpiper Hotel,https://sg.hotels.com/ho402280/
ho368099,Value Hotel Nice,https://sg.hotels.com/ho368099/
ho368000,Hotel 81 Sakura,https://sg.hotels.com/ho368000/
ho379936,Fragrance Hotel - Ocean View,https://sg.hotels.com/ho379936/
ho368097,Hotel 81 Palace,https://sg.hotels.com/ho368097/
ho271001,Hotel Re! @ Pearl's Hill,https://sg.hotels.com/ho271001/
ho464555,Aqueen Balestier Hotel,https://sg.hotels.com/ho464555/
ho368096,Hotel Classic by Venue,https://sg.hotels.com/ho368096/
ho403172,Quality Hotel Marlow,https://sg.hotels.com/ho403172/
ho645650,ZEN Rooms Balestier,https://sg.hotels.com/ho645650/
ho402456,Hotel 81 - Heritage,https://sg.hotels.com/ho402456/
ho368064,Hotel 81 Elegance,https://sg.hotels.com/ho368064/
ho484754,JW Marriott Hotel Singapore South Beach,https://sg.hotels.com/ho484754/
ho623744288,Pegasus Hotel,https://sg.hotels.com/ho623744288/
ho327819,Orchid Country Club,https://sg.hotels.com/ho327819/
ho676511,Hotel 81 Changi,https://sg.hotels.com/ho676511/
ho571149,Ambassador Transit Hotel Terminal 2,https://sg.hotels.com/ho571149/
ho460013,Marrison @ Desker,https://sg.hotels.com/ho460013/
ho271154,Fragrance Hotel - Selegie,https://sg.hotels.com/ho271154/
ho571161,Ambassador Transit Hotel Terminal 3,https://sg.hotels.com/ho571161/
ho426856,Fragrance Hotel - Lavender,https://sg.hotels.com/ho426856/
ho577529,Regin Hotel,https://sg.hotels.com/ho577529/
ho470605,Chang Ziang Hotel,https://sg.hotels.com/ho470605/
ho645634,ZEN Premium Kampong Glam,https://sg.hotels.com/ho645634/
ho711406912,ZEN Premium Cranwell Road,https://sg.hotels.com/ho711406912/
ho136496,Conrad Centennial Singapore,https://sg.hotels.com/ho136496/
ho115869,Goodwood Park Hotel,https://sg.hotels.com/ho115869/
ho411956,W Singapore - Sentosa Cove,https://sg.hotels.com/ho411956/
ho489573,Home Suite View Hotel,https://sg.hotels.com/ho489573/
ho489939,Raintr33 Hotel Singapore,https://sg.hotels.com/ho489939/
ho507739,Yes Chinatown Point Hotel,https://sg.hotels.com/ho507739/
ho260530,The St. Regis Singapore,https://sg.hotels.com/ho260530/
ho368093,Hotel 81 Bugis,https://sg.hotels.com/ho368093/
ho676502304,CP Residences,https://sg.hotels.com/ho676502304/
ho599280,Lai Ming Hotel Cosmoland,https://sg.hotels.com/ho599280/
ho176925,Furama RiverFront,https://sg.hotels.com/ho176925/
ho687974,Destination Singapore Beach Road,https://sg.hotels.com/ho687974/
ho434374,Carlton City Hotel Singapore,https://sg.hotels.com/ho434374/
ho558059,Seng Wah Hotel,https://sg.hotels.com/ho558059/
ho368077,Hotel 81 Geylang,https://sg.hotels.com/ho368077/
ho559018,"Aerotel Transit Hotel, Terminal 1",https://sg.hotels.com/ho559018/
ho546469,BudgetOne Hotel,https://sg.hotels.com/ho546469/
ho368091,Hotel 81 Selegie,https://sg.hotels.com/ho368091/
ho558935,The Amazing Inn,https://sg.hotels.com/ho558935/
ho140960,Holiday Inn Singapore Atrium,https://sg.hotels.com/ho140960/
ho365891,Park Regis Singapore,https://sg.hotels.com/ho365891/
ho485152,Hilton Garden Inn Singapore Serangoon,https://sg.hotels.com/ho485152/
ho449384,Fisher BnB,https://sg.hotels.com/ho449384/
ho536801,85 Beach Garden Hotel,https://sg.hotels.com/ho536801/
ho871672928,Glamping by the beach - Campsite,https://sg.hotels.com/ho871672928/
ho221068,Aliwal Park Hotel,https://sg.hotels.com/ho221068/
ho115277,Amara Singapore,https://sg.hotels.com/ho115277/
ho556184,The Haven by JetQuay,https://sg.hotels.com/ho556184/
ho608138,ZEN Rooms Changi Village,https://sg.hotels.com/ho608138/
ho172703,Oxford Hotel,https://sg.hotels.com/ho172703/
ho827681312,ZEN Hostel Little India - Hostel,https://sg.hotels.com/ho827681312/
ho457015,The POD @ Beach Road,https://sg.hotels.com/ho457015/
ho650926,Tribe Theory - Business Hostel for Startups and Entrepreneurs,https://sg.hotels.com/ho650926/
ho616192832,ZEN Hostel Selegie,https://sg.hotels.com/ho616192832/
ho756144000,ZEN Hostel Kallang,https://sg.hotels.com/ho756144000/
ho621961,CUBE Boutique Capsule Hotel @ Chinatown,https://sg.hotels.com/ho621961/
ho352402,Wanderlust,https://sg.hotels.com/ho352402/
ho616193408,ZEN Hostel Hong Kong Street,https://sg.hotels.com/ho616193408/
ho592863,Meadows Hostel,https://sg.hotels.com/ho592863/
ho616193376,ZEN Hostel Farrer Park,https://sg.hotels.com/ho616193376/
ho647104736,CUBE Boutique Capsule Hotel @ Kampong Glam,https://sg.hotels.com/ho647104736/
ho466044,Adamson Inn,https://sg.hotels.com/ho466044/
ho463060,Wink Capsule Hostel,https://sg.hotels.com/ho463060/
ho656522848,ZEN Hostel Race Course Rd,https://sg.hotels.com/ho656522848/
ho449679,Drop Inn Singapore,https://sg.hotels.com/ho449679/
ho553768,Ark Hostel,https://sg.hotels.com/ho553768/
ho616193024,ZEN Hostel Serangoon Road,https://sg.hotels.com/ho616193024/
ho476868,Beary Best Hostel by A Beary Good Hostel,https://sg.hotels.com/ho476868/
ho487708,Blanc Inn,https://sg.hotels.com/ho487708/
ho740203936,INN at SG - Hostel,https://sg.hotels.com/ho740203936/
ho594293,7 Wonders Hostel,https://sg.hotels.com/ho594293/
ho464494,Superb Hostel,https://sg.hotels.com/ho464494/
ho510332,Five Stones Hostel,https://sg.hotels.com/ho510332/
ho700266,Lodge 41,https://sg.hotels.com/ho700266/
ho507743,City Backpackers - Hostel,https://sg.hotels.com/ho507743/
ho541846,ABC Premium Hostel,https://sg.hotels.com/ho541846/
ho653659,Nano Hostel,https://sg.hotels.com/ho653659/
ho777590048,Jamilla Boutique Inn - Hostel,https://sg.hotels.com/ho777590048/
ho474045,Vintage Inn @ Clarke Quay,https://sg.hotels.com/ho474045/
ho564792,Adamson Lodge - Hostel,https://sg.hotels.com/ho564792/
ho494173,Backpackers@SG - Hostel,https://sg.hotels.com/ho494173/
ho632121824,Capsule Pod Boutique Hostel,https://sg.hotels.com/ho632121824/
ho751330112,Greendili Backpackers Hostel,https://sg.hotels.com/ho751330112/
ho756980224,NNV Hostel,https://sg.hotels.com/ho756980224/
ho465413,Rucksack Inn @ Lavender,https://sg.hotels.com/ho465413/
ho465992,Beds and Dreams Inn @Chinatown,https://sg.hotels.com/ho465992/
ho539317,Mori Hostel,https://sg.hotels.com/ho539317/
ho470121,Coziee Lodge,https://sg.hotels.com/ho470121/
ho776531232,Pacific Hostel,https://sg.hotels.com/ho776531232/
ho459827,Beds & Dreams Inn @ Clarke Quay,https://sg.hotels.com/ho459827/
ho452032,Mitraa Inn,https://sg.hotels.com/ho452032/
ho487297,Pillow Talk Hostel,https://sg.hotels.com/ho487297/
ho717372288,Atlantis Pods @ Bugis,https://sg.hotels.com/ho717372288/
ho460065,Backpackers' Inn Chinatown,https://sg.hotels.com/ho460065/
ho621190,Checkers Backpackers,https://sg.hotels.com/ho621190/
ho567518,MET A Space Pod @ Boat Quay,https://sg.hotels.com/ho567518/
ho652280,The Atlas Station,https://sg.hotels.com/ho652280/
ho629069856,Indie Hostel Singapore,https://sg.hotels.com/ho629069856/
ho475431,iStay.inn,https://sg.hotels.com/ho475431/
ho575635,River City Inn - Hostel,https://sg.hotels.com/ho575635/
ho474034,Joyfor Backpackers Hostel,https://sg.hotels.com/ho474034/
ho454982,Gusti Bed & Breakfast,https://sg.hotels.com/ho454982/
ho476051,Adler Hostel,https://sg.hotels.com/ho476051/
ho486250,Moni Gallery Hostel,https://sg.hotels.com/ho486250/
ho687991,ZEN Rooms Novena,https://sg.hotels.com/ho687991/
ho356396,Moon 23 Hotel,https://sg.hotels.com/ho356396/
ho271586,Fragrance Hotel - Crystal,https://sg.hotels.com/ho271586/
ho391873,Parc Sovereign Hotel – Albert St,https://sg.hotels.com/ho391873/
ho456238,Hotel Nuve,https://sg.hotels.com/ho456238/
ho545693,Hotel Fuji,https://sg.hotels.com/ho545693/
ho462882,Arton Boutique Hotel,https://sg.hotels.com/ho462882/
ho335768,The Claremont Hotel,https://sg.hotels.com/ho335768/
ho429135,The Daulat,https://sg.hotels.com/ho429135/
ho804679648,Campbell Inn - Hostel,https://sg.hotels.com/ho804679648/
ho485536,G4 Station Backpackers' Hostel,https://sg.hotels.com/ho485536/
ho654843,Blue Jazz Hostel,https://sg.hotels.com/ho654843/
ho891422080,Hotel JSL,https://sg.hotels.com/ho891422080/
ho751284448,Safina Inn Syariah Sekupang Batam,https://sg.hotels.com/ho751284448/
ho436742,Swiss-Belhotel Harbour Bay,https://sg.hotels.com/ho436742/
ho687543,D'Kost Homestay Batam,https://sg.hotels.com/ho687543/
ho757752000,FlexiAsia BayuPuteri 3 bedrooms,https://sg.hotels.com/ho757752000/
ho683292032,M One Hotel,https://sg.hotels.com/ho683292032/
ho397953,KTM Resort,https://sg.hotels.com/ho397953/
ho870604256,KSL Hot Spring Resort,https://sg.hotels.com/ho870604256/
ho652752,Amari Johor Bahru,https://sg.hotels.com/ho652752/
ho704007840,Travelodge Batam,https://sg.hotels.com/ho704007840/
ho622777824,Sijori Resort & Spa,https://sg.hotels.com/ho622777824/
ho325016,Swiss-Inn Batam,https://sg.hotels.com/ho325016/
ho431071,"Hotel Jen Puteri Harbour, Johor",https://sg.hotels.com/ho431071/
ho756058624,TROVe Johor Bahru,https://sg.hotels.com/ho756058624/
ho514447,Peach Hill Hotel,https://sg.hotels.com/ho514447/
ho781104544,Tey Hotel,https://sg.hotels.com/ho781104544/
ho857609824,SP Hotel,https://sg.hotels.com/ho857609824/
ho559929376,Best Western Premier Panbil,https://sg.hotels.com/ho559929376/
ho126357,The Puteri Pacific Johor Bahru,https://sg.hotels.com/ho126357/
ho758309472,CIQ HOTEL at Jalan Trus,https://sg.hotels.com/ho758309472/
ho405804608,Radisson Golf & Convention Center Batam,https://sg.hotels.com/ho405804608/
ho870441952,Saffroncasa JB,https://sg.hotels.com/ho870441952/
ho682416,Best Lion Boutique Hotel,https://sg.hotels.com/ho682416/
ho606084000,7 Heaven Boutique Hotel,https://sg.hotels.com/ho606084000/
ho546104,Arena Country Club,https://sg.hotels.com/ho546104/
ho601899,RM Hotel,https://sg.hotels.com/ho601899/
ho631731,OYO 222 Ar-Raudhah Hotel,https://sg.hotels.com/ho631731/
ho720013312,ZEN Rooms Nagoya Seraya Mas Center,https://sg.hotels.com/ho720013312/
ho679800,Nasa Hotel,https://sg.hotels.com/ho679800/
ho686411936,LT Season Luxury,https://sg.hotels.com/ho686411936/
ho430429,Renaissance Johor Bahru Hotel,https://sg.hotels.com/ho430429/
ho478970,Harmoni Suites Hotel,https://sg.hotels.com/ho478970/
ho547071,Hotel Time Johor Bahru,https://sg.hotels.com/ho547071/
ho636301,Baguss Hotel and Serviced Apartment,https://sg.hotels.com/ho636301/
ho424315,Grand Paragon Hotel Johor Bahru,https://sg.hotels.com/ho424315/
ho396194,89 Hotel,https://sg.hotels.com/ho396194/
ho644803,I Hotel Baloi Batam,https://sg.hotels.com/ho644803/
ho679391,The Evitel Batam,https://sg.hotels.com/ho679391/
ho646338,Hana Hotel,https://sg.hotels.com/ho646338/
ho341483,Berjaya Waterfront Hotel,https://sg.hotels.com/ho341483/
ho608122,ZEN Rooms Near BCS Mall Penuin,https://sg.hotels.com/ho608122/
ho875545184,Victory Hotel,https://sg.hotels.com/ho875545184/
ho857506720,Holi Southkey Art Suite,https://sg.hotels.com/ho857506720/
ho850113024,Teega Waterfront - Hello Kitty,https://sg.hotels.com/ho850113024/
ho880339328,Stella Hotel,https://sg.hotels.com/ho880339328/
ho561649,D'Merlion Hotel,https://sg.hotels.com/ho561649/
ho747081728,H-Hotel,https://sg.hotels.com/ho747081728/
ho608161,ZEN Rooms Near Teluk Tering,https://sg.hotels.com/ho608161/
ho720997184,Ashton Meridin Suites,https://sg.hotels.com/ho720997184/
ho169977,Holiday Inn Resort Batam,https://sg.hotels.com/ho169977/
ho426209,GBW Hotel,https://sg.hotels.com/ho426209/
ho865636288,myJOHORstay at Country Garden Danga Bay,https://sg.hotels.com/ho865636288/
ho866376672,B27-06 Ais-kacang Sweet home Pinnacle Tower,https://sg.hotels.com/ho866376672/
ho632945408,City Living with Panoramic Sea Views at Danga Bay,https://sg.hotels.com/ho632945408/
ho812440864,Grain of sand,https://sg.hotels.com/ho812440864/
ho625914816,Sawadee Resort Hotel & Spa,https://sg.hotels.com/ho625914816/
ho698454,Olive Hotel,https://sg.hotels.com/ho698454/
ho878328896,Jiaxin Hostel,https://sg.hotels.com/ho878328896/
ho535644,Hotel Golden Gate,https://sg.hotels.com/ho535644/
ho524491,Swan Garden Hotel,https://sg.hotels.com/ho524491/
ho587384,Golden View Hotel,https://sg.hotels.com/ho587384/
ho384181408,Tiong Nam Hotel,https://sg.hotels.com/ho384181408/
ho424311,Pariss Hotel Johor Bahru,https://sg.hotels.com/ho424311/
ho578624,Holiday Villa Johor Bahru City Centre,https://sg.hotels.com/ho578624/
ho712616992,Mdm Woon's at Country Garden Danga Bay,https://sg.hotels.com/ho712616992/
ho478777,Meldrum Hotel,https://sg.hotels.com/ho478777/
ho443078,Nagoya Mansion Hotel & Residence,https://sg.hotels.com/ho443078/
ho440311,Hallmark Regency Hotel - Johor Bahru,https://sg.hotels.com/ho440311/
ho388826,"Tune Hotel - Danga Bay, Johor",https://sg.hotels.com/ho388826/
ho740772320,The Marion Hotel,https://sg.hotels.com/ho740772320/
ho608197,ZEN Rooms Near Purimas Batam Centre,https://sg.hotels.com/ho608197/
ho483407,Straits View Hotel,https://sg.hotels.com/ho483407/
ho647926208,Hotel Legend Boutique,https://sg.hotels.com/ho647926208/
